Date,Open,High,Low,Close,Adj Close,Volume
2021-09-14,869.090027,870.940002,866.320007,870.299988,870.299988,2073400000
2021-09-15,868.770020,869.849976,863.369995,866.130005,866.130005,1947700000
2021-09-16,869.909973,871.000000,860.489990,862.700012,862.700012,1504700000
2021-09-17,859.109985,862.440002,854.270020,862.440002,862.440002,2020100000
2021-09-20,861.270020,861.299988,848.510010,854.830017,854.830017,1815800000
2021-09-21,847.840027,854.099976,840.960022,851.729980,851.729980,1876900000
2021-09-22,851.320007,864.000000,851.049988,862.179993,862.179993,1672600000
2021-09-23,864.309998,867.760010,862.369995,865.510010,865.510010,1952000000
2021-09-24,865.780029,870.750000,862.150024,866.250000,866.250000,2297200000
2021-09-27,864.780029,867.080017,858.289978,861.309998,861.309998,1754800000
2021-09-28,863.200012,864.320007,858.630005,859.880005,859.880005,2179200000
2021-09-29,856.789978,870.520020,855.070007,870.340027,870.340027,1967000000
2021-09-30,873.909973,894.679993,873.530029,894.679993,894.679993,2405000000
2021-10-01,891.030029,892.130005,881.909973,886.010010,886.010010,2832400000
2021-10-04,887.539978,911.010010,887.500000,911.010010,911.010010,3269400000
2021-10-05,909.820007,913.049988,899.330017,902.169983,902.169983,3696500000
2021-10-06,908.390015,932.570007,906.590027,928.070007,928.070007,3580800000
2021-10-07,927.130005,932.190002,921.179993,924.250000,924.250000,3310400000
2021-10-08,930.309998,941.599976,929.140015,939.880005,939.880005,2399800000
2021-10-11,940.539978,944.030029,935.320007,941.549988,941.549988,2342000000
2021-10-12,942.159973,950.599976,941.869995,946.609985,946.609985,3387700000
2021-10-13,950.169983,969.369995,949.619995,960.510010,960.510010,2876000000
2021-10-14,963.809998,976.900024,963.760010,972.659973,972.659973,2743800000
2021-10-15,977.130005,981.799988,962.090027,972.210022,972.210022,2475300000
2021-10-18,976.609985,982.159973,971.049988,976.429993,976.429993,2925900000
2021-10-19,978.859985,980.260010,966.049988,975.159973,975.159973,2073100000
2021-10-21,978.950012,980.750000,962.849976,968.159973,968.159973,3212000000
2021-10-22,964.820007,972.320007,959.619995,970.789978,970.789978,2137000000
2021-10-25,966.369995,972.419983,961.320007,961.320007,961.320007,1658000000
2021-10-26,964.309998,970.590027,961.200012,965.039978,965.039978,1657600000
2021-10-27,966.190002,966.479980,954.289978,956.820007,956.820007,1919000000
2021-10-28,951.309998,956.309998,940.359985,942.809998,942.809998,2312900000
2021-10-29,952.489990,954.650024,947.900024,952.590027,952.590027,1929500000
2021-11-01,958.809998,959.289978,944.489990,944.489990,944.489990,1618100000
2021-11-02,945.679993,947.909973,931.940002,933.549988,933.549988,1586700000
2021-11-03,934.440002,947.440002,931.969971,945.130005,945.130005,1528200000
2021-11-04,954.679993,955.940002,948.169983,948.169983,948.169983,1712500000
2021-11-05,951.000000,951.929993,939.700012,947.969971,947.969971,1452200000
2021-11-08,952.130005,953.739990,946.270020,950.570007,950.570007,1293700000
2021-11-09,952.340027,955.229980,949.130005,952.630005,952.630005,1406600000
2021-11-10,951.380005,959.200012,949.179993,958.400024,958.400024,1345900000
2021-11-11,960.789978,963.030029,955.010010,957.729980,957.729980,1369800000
2021-11-12,962.159973,962.859985,950.369995,951.440002,951.440002,1439300000
2021-11-15,953.450012,955.229980,941.809998,942.200012,942.200012,1482900000
2021-11-16,938.119995,949.760010,937.450012,948.119995,948.119995,1443700000
2021-11-17,952.530029,953.400024,946.260010,953.400024,953.400024,1579300000
2021-11-18,948.619995,951.440002,943.770020,945.940002,945.940002,1454500000
2021-11-19,949.719971,964.859985,948.739990,963.640015,963.640015,1784900000
2021-11-22,966.900024,970.710022,957.000000,963.640015,963.640015,2107500000
2021-11-23,962.150024,965.659973,956.200012,958.390015,958.390015,2101300000
2021-11-24,962.929993,963.330017,956.719971,958.840027,958.840027,1674500000
2021-11-25,962.590027,972.979980,961.570007,965.140015,965.140015,2413600000
2021-11-26,962.650024,962.710022,938.969971,941.109985,941.109985,3315900000
2021-11-29,939.049988,953.710022,927.390015,950.669983,950.669983,0
2021-11-30,950.780029,954.210022,930.979980,930.979980,930.979980,3614500000
2021-12-01,933.859985,946.520020,929.580017,931.549988,931.549988,2665700000
2021-12-02,933.500000,950.799988,930.659973,949.489990,949.489990,2589500000
2021-12-03,950.289978,951.859985,938.929993,938.929993,938.929993,1500300000
2021-12-06,942.109985,949.219971,936.690002,938.929993,938.929993,1976100000
2021-12-07,945.559998,950.169983,944.530029,950.169983,950.169983,2651900000
2021-12-08,953.099976,953.659973,943.640015,945.590027,945.590027,2968600000
2021-12-09,949.309998,952.510010,943.739990,952.510010,952.510010,2071500000
2021-12-10,945.229980,948.609985,939.669983,948.609985,948.609985,1665600000
2021-12-13,951.530029,953.789978,943.710022,943.710022,943.710022,1296200000
2021-12-14,945.219971,945.950012,937.770020,940.349976,940.349976,1427600000
2021-12-15,940.299988,950.049988,938.869995,944.489990,944.489990,2013200000
2021-12-16,950.020020,951.270020,936.039978,937.109985,937.109985,1889200000
2021-12-17,933.539978,939.409973,931.270020,939.409973,939.409973,1789200000
2021-12-20,932.219971,935.880005,929.789978,932.169983,932.169983,1343200000
